PGPGRP,CTPPGD,PGPRDC,PGDESC,TOTAV01
4103 ,Majestic Units                ,TRILLIANT35IN                      ,NG DV LRG INSERT W/ITF SYSTEM ,5.00                     
4103 ,Majestic Units                ,TWILIGHT-IFT                       ,IN/OUTDOOR NG SEETHRU FPLC****,.00                      
4103 ,Majestic Units                ,TWILIGHT-MD-IFT                    ,IN/OUTDOOR NG SEETHRU FPLC****,.00                      
4103 ,Majestic Units                ,VDY24/18D2A                        ,DUZY 2 LOGS-FIBER -VDY24/18***,.00                      
4103 ,Majestic Units                ,VDY24/18D3R                        ,DUZY 3 LOGS-REFR VDY24/18*****,.00                      
4103 ,Majestic Units                ,VDY24/18D5                         ,DUZY 5 LOGS-FIBER FOR VDY24/**,.00                      
4103 ,Majestic Units                ,VDY24/18NVP                        ,"NG 24/18""VENTED DUZY BRNR-MV**",3.00                     
4103 ,Majestic Units                ,VDY24/18PVP                        ,"LP 24/18""VENTED DUZY BRNR-MV**",.00                      
4103 ,Majestic Units                ,VDY30D2A                           ,DUZY 2 LOGS-FIBER FOR VDY30***,.00                      
4103 ,Majestic Units                ,VDY30D3R                           ,DUZY 3 LOGS-REFRACTORY VDY30**,.00                      
4103 ,Majestic Units                ,VDY30D5                            ,DUZY 5 LOGS-FIBER FOR VDY30***,.00                      
4103 ,Majestic Units                ,VDY30NVP                           ,"NG 30""VENTD DUZY BNR-MV*******",1.00                     
4103 ,Majestic Units                ,VDY30PVP                           ,"LP 30""VENTD DUZY BNR-MV*******",1.00                     
4103 ,Majestic Units                ,VWF18NA                            ,"NG 18"" VENTED BURNER RADCO****",1.00                     
4103 ,Majestic Units                ,VWF24NA                            ,"NG 24"" VENTED BURNER RADCO****",7.00                     
4103 ,Majestic Units                ,VWF24NVC                           ,"NG 24"" VENTED BURNER-MV*******",.00                      
4103 ,Majestic Units                ,VWF30/24SRO                        ,"30""SPLIT OAK 7PC REFRC LOGS***",1.00                     
4103 ,Majestic Units                ,VWF30MO                            ,"30""MASSIVE OAK 7-PC LOGS******",3.00                     
4103 ,Majestic Units                ,VWF30NA                            ,NG WILDFIRE BRNR/GRATE********,1.00                     
4103 ,Majestic Units                ,WARMMAJIC-II                       ,WARMMAJIC II WOOD FIREPLACE***,3.00                     
4108 ,Empire Hearth Products        ,BDB34BL                            ,BIFOLD GLASS DOOR BLACK       ,.00                      
4108 ,Empire Hearth Products        ,BFE18MTN                           ,"18"" NG ELITE BRNR IP & VAR RMT",.00                      
4108 ,Empire Hearth Products        ,BFE2124MTN                         ,"21/24"" NG BNR IP & VAR RMT    ",.00                      
4108 ,Empire Hearth Products        ,BFE30MTN                           ,"30"" NG BNR IP & VAR RMT       ",.00                      
4108 ,Empire Hearth Products        ,BFL18MTN                           ,"18"" NG ELITE BRNR MAN RADCO   ",.00                      
4108 ,Empire Hearth Products        ,BFL2124MTN                         ,"21/24"" NG ELITE BRNR MAN RADCO",4.00                     
4108 ,Empire Hearth Products        ,BFL30MTN                           ,"30"" NG ELITE BRNR MAN RADCO   ",2.00                     
4108 ,Empire Hearth Products        ,BFM2124MTN                         ,"21/24"" NG ELITE BRNR MANUAL UL",3.00                     
4108 ,Empire Hearth Products        ,BFM30MTN                           ,"30"" NG ELITE BRNR MANUAL UL   ",1.00                     
4108 ,Empire Hearth Products        ,BFR2124MTN                         ,"21/24"" NG ELITE BRNR MV UL    ",2.00                     
4108 ,Empire Hearth Products        ,BFR2124RN                          ,"21/24"" NG ELITE BRNR HI/LO    ",3.00                     
4108 ,Empire Hearth Products        ,BFR30MTN                           ,"30"" NG ELITE BRNR MV UL       ",3.00                     
4108 ,Empire Hearth Products        ,BFR30RN                            ,"30"" NG ELITE BRNR HI/LO UL    ",2.00                     
4108 ,Empire Hearth Products        ,BVD2SH                             ,BRICK LINER HERRINGBONE TAN   ,.00                      
4108 ,Empire Hearth Products        ,BVD34-FP30FN                       ,"34""DLX NG B-VENT, FLUSH,MVLT  ",.00                      
4108 ,Empire Hearth Products        ,BVD34-FP30LN                       ,"34""DLX NG B-VENT, MVLT        ",.00                      
4108 ,Empire Hearth Products        ,BVD34FP70FN                        ,"34""DLX NG B-VENT FPLC         ",.00                      
4108 ,Empire Hearth Products        ,BVD34FP70LN                        ,"34""DLX NG B-VENT FPLC         ",.00                      
4108 ,Empire Hearth Products        ,BVD36-FP30FN                       ,"36""NG DLX B-VENT MV FLUSH FPLC",.00                      
4108 ,Empire Hearth Products        ,BVD36-FP30LN                       ,"36""DLX NG B-VENT, MVLT        ",.00                      
4108 ,Empire Hearth Products        ,BVD36-FP70FN                       ,"36""NG DLX B-VENT IP FLUSH FPLC",.00                      
4108 ,Empire Hearth Products        ,BVD36FP70LN                        ,"36""NG DLX B-VENT IP LOUVERFPLC",-1.00                    
4108 ,Empire Hearth Products        ,BVP-42-FP30FN                      ,NG PREM BV FPLC MV 30K BTU    ,.00                      
4108 ,Empire Hearth Products        ,BVP-42-FP30LN                      ,NG PREM BV FPLC MV 30K BTU    ,.00                      
4108 ,Empire Hearth Products        ,BVP-42-FP70LN                      ,NG PREM BV FPLC IP/LVR        ,.00                      
4108 ,Empire Hearth Products        ,DVCC-42-BP32N-2                    ,"NG 42"" DV MV CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCC-42-BP32P-2                    ,"LP 42"" DV MV CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCC-42-BP72N-2                    ,"NG 42"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCC-42-BP72P-2                    ,"LP 42"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCC32BP32N2                       ,NG DV MV CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC32BP32P2                       ,LP DV MV CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC32BP72N2                       ,NG DV IP CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC32BP72P2                       ,LP DV IP CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC36BP32N2                       ,NG DV MV CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC36BP32P2                       ,LP DV MV CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC36BP72N2                       ,NG DV IP CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCC36BP72P2                       ,LP DV IP CONT CFACE FPLC LINER,.00                      
4108 ,Empire Hearth Products        ,DVCD-32-FP31N                      ,"NG 32"" DV MV CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-32-FP31P                      ,"LP 32"" DV MV CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-32-FP70N                      ,"NG 32"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCD-32-FP70P                      ,"LP 32"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCD-32-FP71N                      ,"NG 32"" DV IP CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-32-FP71P                      ,"LP 32"" DV IP CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-36-FP31N                      ,"NG 36"" DV MV CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-36-FP31P                      ,"LP 36"" DV MV CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-36-FP70P                      ,"LP 36"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCD-36-FP71N                      ,"NG 36"" DV IP CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-36-FP71P                      ,"LP 36"" DV IP CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-42-FP31N                      ,"NG 42"" DV MV CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-42-FP31P                      ,"LP 42"" DV MV CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-42-FP70N                      ,"NG 42"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCD-42-FP70P                      ,"LP 42"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCD-42-FP71N                      ,"NG 42"" DV IP CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD-42-FP71P                      ,"LP 42"" DV IP CLEAN FACE W/BLWR",.00                      
4108 ,Empire Hearth Products        ,DVCD32FP30N2                       ,"NG 32"" DV MV CLN FACE FPLC    ",3.00                     
4108 ,Empire Hearth Products        ,DVCD32FP30P2                       ,"LP 32"" DV MV CLN FACE FPLC    ",1.00                     
4108 ,Empire Hearth Products        ,DVCD36FP30N2                       ,"NG 36"" DV MV CLEAN FACE FPLC  ",7.00                     
4108 ,Empire Hearth Products        ,DVCD36FP30P2                       ,"LP 36"" DV MV CLEAN FACE FPLC  ",3.00                     
4108 ,Empire Hearth Products        ,DVCD36FP70N                        ,"NG 36"" DV IP CLEAN FACE FPLC  ",2.00                     
4108 ,Empire Hearth Products        ,DVCD42FP30N2                       ,"NG 42"" DV MV CLN FACE FPLC    ",2.00                     
4108 ,Empire Hearth Products        ,DVCD42FP30P2                       ,"LP 42"" DV MV CLN FACE FPLC    ",.00                      
4108 ,Empire Hearth Products        ,DVCP-32-BP70P-3                    ,"LP 32"" DV IP CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCP-36-PP30N                      ,"NG 36"" DV MV CLEAN FACE PEN FP",.00                      
4108 ,Empire Hearth Products        ,DVCP-36-PP30P                      ,"LP 36"" DV MV CLEAN FACE PEN FP",.00                      
4108 ,Empire Hearth Products        ,DVCP-36-PP70N                      ,"NG 36"" DV IP CLEAN FACE PEN FP",.00                      
4108 ,Empire Hearth Products        ,DVCP-36-PP70P                      ,"LP 36"" DV IP CLEAN FACE PEN FP",.00                      
4108 ,Empire Hearth Products        ,DVCP32BP30N3                       ,"NG 32"" DV MV CLEAN FACE FPLC  ",.00                      
4108 ,Empire Hearth Products        ,DVCP32BP30P3                       ,"LP 32"" DV MV CLEAN FACE FPLC  ",.00                      
